sku,review_text
W008103065,This sofa is so beautiful and comfortable. I’m very pleased with it.
W008103065,This is a hit in our media room. It is comfortable and has room for several people to sit.
W008103065,"I've had this couch for roughly one year and I still absolutely love the style. I love how it's more towards the bed style, versus an ordinary couch look. The size was great, perfect for my living room and can easily sit 2-3 people comfortably. For the style and comfort, I'm happy to give his couch a 5 star review! I do notice that some of the back cushions are starting to loose shape, but not by much and I can probably stuff it down the line again."
W008103065,"Obsessed with this couch, I live on it, but whatever you do DONT PUT RHW COVER IN THE WASHING MACHINE"
W008103065,"Purchased quite a while back. Still in box as I haven’t moved into my home as of yet. Opened top of the box and from what I can see and feel. It looks pretty and is super soft! Fingers crossed! Will updated review when I get it into my home all unboxed. Update just moved into my home, unboxed the couch. Wow! It is awesome! So pleased! Been a couple months, couch already has an indent. I’m 130lbs. Pretty disappointed."
W008103065,"The sofa is very easy to assemble with clear instruction. Also, it is very cozy and the material feels very soft and comfortable. The size is large enough to fit myself to lay across the sofa! It's way bigger than what was expected which I love it!"
W008103065,My favourite couch I have ever owned. Love it- perfect size for a smaller apartment/small living space. Perfect cuddle couch
W008103065,"Love this couch! Exactly what we were looking for. Have had it for 1.5 years or so and still in good shape despite our dog and 3 cats. Easy enough to wash, but like any couch difficult to put back together. The seams are starting to come out in some places unfortunately, which is why I give 4 stars. Just wish it would last as long as we’d like but maybe we have another 1-2 years"
W008103065,Perfect and very comfortable
W008103065,"Better than I expected, the back cushions are removable so it ends up being a little larger than a twin bed."
W008103065,I looove it
W008103065,"Perfect couch for those who want more space for kids, dogs, etc. It's very deep --almost like a bed/couch combo. Lots of room for two adults and two big dogs. Very comfortable. Great value."
W008103065,"10/10!!! If you are going back and forth- considering this option, trust me when I tell you that I did the same-buy it!!! I was completely blown away at the quality.This couch is huge, the equivalent of a twin XL bed. I. currently saving up to buy a second one! also, this seems to be pretty pet resistant, I have a very active dog who jumps all around and this couch has completely withheld"
W008103065,"At first I was a little worried, it appears to sit lower than I was expecting. It is really deep seated as well, but I love it!! Fabrics is soft and it is super comfortable!! This was definitely worth the price."
W008103065,Obsessed!!! I absolutely love love this sofa
W008103065,We love the sofa. It’s comfortable and you can sleep on it or use it as a sofa
W008103065,Comfortable and item is exactly as describe on listing.
